,location,isp,speed,images
84,Kimironko,"['MTN', '3G']",3.2 Mbps ,['http://pbs.twimg.com/media/EUspC-2XsAAm5ut.jpg']
85,Kimironko,"['Airtel', '(3G)']",38Kbps😏,['http://pbs.twimg.com/media/EUslhD_WAAA27yp.jpg']
86,Kimisagara,"['MTN', '(4G)']",3.9mbps,['http://pbs.twimg.com/media/EUsg2taWkAAXUeg.jpg']
87,Gisozi  ISP: MTN 3G Speed: 4.2Mbps https://t.co/ru1s5FYNoL,"['MTN', '3G', 'Speed:', '4.2Mbps']",4.2Mbps https://t.co/ru1s5FYNoL,['http://pbs.twimg.com/media/EUsgw3ZXgAMSviL.jpg']
88,Muhanga,['Airtel'],160 Kbps,['http://pbs.twimg.com/media/EUsfXe_XQAMiwm1.jpg']
89,,,,['http://pbs.twimg.com/media/EUseVYrXQAYl3z7.jpg']
90,,['@airtelrw'],,['http://pbs.twimg.com/media/EUsdGurX0AYlNYQ.jpg']
91,bugesera mayange,"['RTN', '', '4G', '@ktRwanda']",230kbps,['http://pbs.twimg.com/media/EUsbJGNWsAIinwi.jpg']
92,Gacuriro,"['Mango', '4G']",2.2 Mbps,['http://pbs.twimg.com/media/EUsZa4qXYAMqy0S.jpg']
93,Kacyiru ,,,['http://pbs.twimg.com/media/EUsYIWFXYAIsrTG.jpg']
94,Kimihurura ,,,['http://pbs.twimg.com/media/EUsXmNTXsAExCp-.jpg']
95,Masaka ,[],550 kbps,['http://pbs.twimg.com/media/EUsXTd2XQAArvHC.jpg']
96,"Kimironko, Bibare ",['@FastnetISP_RW'],21 Mbps ,['http://pbs.twimg.com/media/EUsWkIPWsAIbw_w.jpg']
97,Kacyiru,['MTN'],10 Mbps,['http://pbs.twimg.com/media/EUsUaYDXYAYP-Qi.jpg']
98,Kicukiro ,['MTN'],,['http://pbs.twimg.com/media/EUsTdN6WsAMT6Ul.jpg']
99,Gikondo,,,['http://pbs.twimg.com/media/EUsSN_nXQAAUY-c.jpg']
100,,,,['http://pbs.twimg.com/media/EUsSCaAWoAA6n1k.jpg']
101,kanombe                                          ISP: Mango Telecom https://t.co/ju2jZgWSNo,"['Mango', 'Telecom']",,['http://pbs.twimg.com/media/EUsRSiMWsAUjOGa.jpg']
102,,,,['http://pbs.twimg.com/media/EUsQ-bXXYAU7sf9.jpg']
103,Lagos.  ISP:Airtel https://t.co/Pwk3uUmCaJ,['Airtel'],,['http://pbs.twimg.com/media/EUsQPoIWoAA_eRT.jpg']
104,Gikondo,['Airtel'],,['http://pbs.twimg.com/media/EUsMigWXQAYbbhg.jpg']
105,Kimironko ,['Airtel'],,['http://pbs.twimg.com/media/EUsJaYYXsAEPHDP.jpg']
106,Kimisagara,['Airtel'],12 Mbps,['http://pbs.twimg.com/media/EUsHi-3XYAADXWa.jpg']
107,Musanze City,['Mango'],250 Mbps,['http://pbs.twimg.com/media/EUsGH82XQAEuh3S.jpg']
108,Kanombe - Nonko,"['MTN', '-']",2.8Mbps,['http://pbs.twimg.com/media/EUsFTRvXkAQfq17.jpg']
109,Kacyiru,['MTN'],1.3 Mbps,['http://pbs.twimg.com/media/EUsFjpjXkAEmbB0.png']
110,Kicukiro Niboye,"['MTN', '😡']",14 kbps,['http://pbs.twimg.com/media/EUsE4NZWoAAtcd_.jpg']
